jeju_grid_x,jeju_grid_y,jeju_grid_province,jeju_grid_city,jeju_grid_local
46,35,제주특별자치도,제주시,한경면
48,32,제주특별자치도,서귀포시,대정읍_마라도
48,36,제주특별자치도,제주시,한림읍
48,48,제주특별자치도,제주시,추자면
49,32,제주특별자치도,서귀포시,안덕면
49,37,제주특별자치도,제주시,애월읍
50,32,제주특별자치도,서귀포시,예래동
51,32,제주특별자치도,서귀포시,중문동
51,38,제주특별자치도,제주시,외도동_이호동
52,32,제주특별자치도,서귀포시,대륜동_대천동
52,38,제주특별자치도,제주시,용담1동_용담2동_오라동_연동_노형동_도두동
53,32,제주특별자치도,서귀포시,송산동_정방동_중앙동_천지동
53,33,제주특별자치도,서귀포시,동홍동_서홍동
53,37,제주특별자치도,제주시,아라동
54,33,제주특별자치도,서귀포시,효돈동_영천동
54,38,제주특별자치도,제주시,삼양동_봉개동
55,39,제주특별자치도,제주시,조천읍
56,33,제주특별자치도,서귀포시,남원읍
58,34,제주특별자치도,서귀포시,표선면
59,38,제주특별자치도,제주시,구좌읍
60,37,제주특별자치도,서귀포시,성산읍
60,38,제주특별자치도,제주시,우도면
